621,0.89,-0.46,0.10,0.06,-4.52,-2.75
622,0.89,-0.46,0.10,0.00,-4.64,-2.75
623,0.89,-0.46,0.10,0.18,-4.52,-2.87
624,0.89,-0.46,0.10,0.00,-4.58,-2.69
625,0.89,-0.46,0.10,0.06,-4.70,-2.75
626,0.89,-0.46,0.10,0.18,-4.58,-2.87
627,0.89,-0.46,0.10,0.06,-4.52,-2.75
628,0.89,-0.46,0.10,-0.06,-4.64,-2.75
629,0.89,-0.46,0.10,0.31,-4.46,-2.81
630,0.89,-0.46,0.10,0.00,-4.52,-2.69
631,0.89,-0.46,0.10,0.06,-4.58,-2.69
632,0.89,-0.46,0.10,0.37,-4.46,-2.87
633,0.89,-0.46,0.10,0.06,-4.58,-2.69
634,0.89,-0.46,0.10,0.06,-4.52,-2.69
635,0.89,-0.46,0.10,0.24,-4.58,-2.93
636,0.89,-0.46,0.10,0.00,-4.64,-2.75
637,0.89,-0.46,0.10,0.18,-4.70,-2.93
638,0.89,-0.46,0.10,0.06,-4.64,-2.75
639,0.89,-0.45,0.10,0.06,-4.64,-2.75
640,0.89,-0.46,0.10,0.12,-4.58,-2.75
641,0.89,-0.46,0.10,0.06,-4.64,-2.75
642,0.89,-0.46,0.10,0.12,-4.52,-2.81
643,0.89,-0.46,0.10,0.00,-4.52,-2.62
644,0.89,-0.46,0.10,0.00,-4.58,-2.69
645,0.89,-0.46,0.10,0.12,-4.39,-2.69
646,0.90,-0.44,0.09,0.06,-4.46,-2.81
647,0.89,-0.44,0.09,1.04,-5.68,-3.85
648,0.89,-0.45,0.09,0.31,-5.25,-3.97
649,0.90,0.07,-0.25,-41.99,24.41,225.22
650,0.52,-0.99,0.35,-524.41,101.93,60.42
651,0.64,-0.80,-0.09,73.00,-8.30,17.27
652,1.01,-0.45,-0.13,56.34,-2.26,10.86
653,0.76,-0.84,0.12,39.61,10.80,-59.51
654,0.82,-0.53,0.10,164.12,-51.03,-48.10
655,0.84,-0.53,0.14,50.90,-26.31,-28.44
656,0.87,-0.67,0.05,-33.14,-28.93,-50.35
657,0.88,-0.56,-0.06,205.81,-64.94,-78.37
