11155,0.43,-0.62,0.65,0.73,-4.88,-2.81
11156,0.43,-0.63,0.65,-0.37,-4.52,-2.50
11157,0.43,-0.62,0.65,0.73,-5.31,-2.99
11158,0.43,-0.63,0.65,-1.65,-4.09,-3.36
11159,0.43,-0.62,0.65,-0.61,-4.39,-2.75
11160,0.43,-0.62,0.65,0.55,-4.46,-2.81
11161,0.43,-0.62,0.65,0.18,-4.58,-2.56
11162,0.43,-0.63,0.65,0.73,-4.70,-2.38
11163,0.43,-0.62,0.65,-0.49,-4.33,-2.69
11164,0.43,-0.62,0.65,0.49,-4.58,-2.62
11165,0.43,-0.62,0.65,0.37,-4.33,-2.56
11166,0.43,-0.62,0.65,-0.31,-4.58,-2.69
11167,0.43,-0.62,0.65,0.12,-4.52,-2.75
11168,0.43,-0.62,0.65,0.18,-4.52,-2.56
11169,0.43,-0.62,0.65,0.31,-4.52,-2.75
11170,0.43,-0.62,0.65,-0.67,-4.52,-2.81
11171,0.43,-0.62,0.65,0.61,-4.39,-2.50
11172,0.40,-0.64,0.66,-49.38,62.81,7.93
11173,0.22,-0.51,0.81,77.33,-92.65,60.67
11174,0.42,-0.84,0.55,-85.75,-63.90,-23.62
11175,0.58,-0.63,0.64,160.28,-79.53,-53.53
11176,0.63,-0.74,0.77,-84.66,-16.42,-116.58
11177,0.61,-0.71,0.67,115.11,70.19,37.60
11178,0.56,-0.58,0.70,36.74,57.37,79.22
11179,0.54,-0.52,0.78,56.15,42.85,84.05
11180,0.45,-0.41,0.84,52.67,74.65,68.36
11181,0.31,-0.35,0.88,71.17,79.83,52.55
11182,0.14,-0.32,0.95,187.56,89.42,28.69
11183,0.12,-0.06,0.89,152.53,92.35,14.95
11184,-0.02,-0.07,0.88,84.66,92.47,-1.83
11185,-0.09,0.02,0.92,91.31,64.45,-13.37
11186,-0.19,0.03,0.88,70.31,80.63,-13.37
11187,-0.26,0.15,0.82,129.27,68.97,4.33
11188,-0.31,0.29,0.73,89.84,53.47,-3.05
11189,-0.36,0.38,0.74,170.04,8.91,-23.62
11190,-0.44,0.55,0.74,205.51,13.49,-11.60
11191,-0.43,0.71,0.59,285.10,3.48,-9.95
11192,-0.42,0.82,0.30,265.75,12.08,-16.72
11193,-0.43,0.81,0.14,116.21,7.20,-21.18
11194,-0.42,0.82,0.10,43.46,1.53,-6.59
11195,-0.42,0.83,0.06,37.41,-2.62,-3.05
11196,-0.45,0.90,0.07,-8.54,-22.22,18.19
11197,-0.42,0.88,0.08,-59.08,-20.69,30.09
11198,-0.37,0.85,0.11,-98.39,-28.20,46.26
11199,-0.29,0.78,0.16,-280.21,-47.12,26.43
11200,-0.20,0.61,0.97,-424.32,-113.83,46.51
11201,-0.20,0.47,1.06,-98.69,-50.54,-14.04
11202,-0.10,0.32,0.96,-197.14,-23.13,-3.60
11203,-0.13,0.23,0.88,-119.45,-29.60,-8.97
11204,-0.10,0.03,1.07,-213.20,-55.66,-30.82
11205,-0.06,-0.22,0.98,-199.58,-26.92,-47.67
11206,-0.05,-0.35,0.96,-180.66,-12.70,-17.64
11207,-0.05,-0.53,0.85,-223.88,-5.13,-31.74
11208,0.01,-0.70,0.69,-194.64,0.73,-43.82
11209,0.04,-0.77,0.56,-178.89,-3.97,-33.51
11210,0.08,-0.87,0.36,-254.94,14.04,-49.80
11211,0.12,-1.02,0.15,-159.61,8.97,-108.40
11212,0.20,-1.05,0.04,-120.54,-7.45,-61.46
11213,0.20,-0.96,-0.08,-134.46,11.17,-15.75
11214,0.26,-0.88,-0.17,-144.23,44.31,-21.91
11215,0.29,-0.86,-0.25,-81.48,33.45,-31.49
11216,0.34,-0.87,-0.34,-93.08,35.28,-43.15
11217,0.36,-0.87,-0.44,-73.24,26.86,-62.26
11218,0.43,-0.79,-0.48,-71.29,22.16,-39.43
11219,0.43,-0.76,-0.49,-28.32,-1.04,-22.09
11220,0.44,-0.77,-0.50,30.88,-16.66,-6.71
11221,0.47,-0.76,-0.47,57.01,-24.72,18.19
11222,0.43,-0.81,-0.36,168.58,-36.50,18.74
11223,0.38,-0.95,-0.22,149.48,-14.34,14.22
11224,0.37,-0.93,-0.10,146.48,-20.26,32.84
11225,0.31,-0.92,0.06,145.14,-28.32,30.15
11226,0.27,-0.94,0.20,130.98,-17.40,36.25
11227,0.22,-0.94,0.32,114.75,10.80,54.08
11228,0.21,-0.91,0.51,340.33,21.00,54.50
11229,0.16,-0.68,0.74,351.44,31.80,79.53
11230,0.15,-0.60,0.86,48.71,8.30,62.93
11231,0.02,-0.43,1.00,-16.05,-2.62,53.77
11232,-0.03,-0.37,0.92,22.22,43.46,48.77
11233,0.03,-0.52,0.82,25.82,58.72,42.18
11234,-0.17,-0.31,0.91,183.23,176.57,81.36
11235,-0.36,-0.35,0.76,-42.97,196.23,72.27
11236,-0.55,-0.18,0.64,-57.80,97.96,85.14
11237,-0.58,-0.21,0.68,65.43,90.64,53.77
11238,-0.72,-0.13,0.57,27.34,120.97,52.92
11239,-0.85,-0.07,0.55,11.35,76.66,26.43
11240,-0.96,-0.10,0.51,-30.27,140.62,6.96
11241,-0.86,-0.10,0.17,-80.69,156.74,49.13
11242,-0.81,-0.19,0.00,-75.81,136.17,34.55
11243,-0.84,0.13,-0.13,-170.59,130.00,74.77
11244,-1.00,0.10,-0.14,-67.02,39.55,-8.54
11245,-1.00,0.12,-0.17,-73.97,50.48,-0.49
11246,-0.87,0.14,-0.31,43.95,54.69,32.59
11247,-1.33,0.01,-0.53,50.60,9.46,3.42
11248,-0.92,0.18,-0.05,-186.83,15.20,-140.56
11249,-0.73,-0.06,-0.53,-47.85,39.25,-114.32
